Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,6931,0,34,37.79615994775366,22.077900008298457,519.1133000189438,70.0,118.19817777002513,0.0,34,36,38,40,47,58,79,98,180,520,520
,Aggregated,6931,0,34,37.79615994775366,22.077900008298457,519.1133000189438,70.0,118.19817777002513,0.0,34,36,38,40,47,58,79,98,180,520,520
