Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,12079,0,260.0,293.8649853794699,22.599800024181604,964.0150000341237,70.0,202.1576293281967,0.0,260,340,400,420,520,600,690,740,870,960,960
,Aggregated,12079,0,260.0,293.8649853794699,22.599800024181604,964.0150000341237,70.0,202.1576293281967,0.0,260,340,400,420,520,600,690,740,870,960,960
