Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,5303,0,1100.0,2404.964492174493,8.414400013862178,43134.33349999832,70.0,88.97060886294524,0.0,1100,1900,2800,3500,6000,9200,14000,19000,33000,43000,43000
,Aggregated,5303,0,1100.0,2404.964492174493,8.414400013862178,43134.33349999832,70.0,88.97060886294524,0.0,1100,1900,2800,3500,6000,9200,14000,19000,33000,43000,43000
