op_type,key,latency_ms,status_code,version,stale
read,key18,23.074900032952428,200,1,False
read,key5,16.667499963659793,404,,False
read,key1,10.709700000006706,200,1,False
read,key13,19.128400017507374,200,1,False
read,key17,15.674600028432906,404,,False
read,key8,15.437300025951117,404,,False
read,key12,8.728599990718067,404,,False
write,key16,1225.8886000490747,201,1,False
read,key18,14.973000041209161,200,1,False
read,key6,14.428999973461032,404,,False
write,key13,1220.1190000050701,201,2,False
read,key12,15.113300003577024,404,,False
read,key11,15.486599993892014,404,,False
read,key0,14.98949999222532,404,,False
read,key15,15.079400036484003,200,1,False
read,key4,15.10050002252683,404,,False
read,key11,14.810900029260665,404,,False
read,key16,13.804299989715219,200,1,False
read,key17,14.925200026482344,404,,False
read,key17,14.79519996792078,404,,False
read,key6,13.705499994102865,404,,False
read,key4,14.922200003638864,404,,False
read,key1,12.940099986735731,200,1,False
read,key14,15.686800004914403,404,,False
read,key8,15.73470002040267,404,,False
read,key5,16.531299974303693,404,,False
read,key12,16.099700005725026,404,,False
read,key8,14.352600031998008,404,,False
read,key0,14.549000014085323,404,,False
read,key3,15.122200013138354,404,,False
write,key18,1220.395100011956,201,2,False
read,key14,13.969699968583882,404,,False
read,key15,15.00130002386868,200,1,False
read,key0,14.293699990957975,404,,False
read,key13,13.918899989221245,200,2,False
read,key17,8.669800008647144,404,,False
read,key10,13.908200024161488,200,2,False
read,key14,14.37170000281185,404,,False
read,key15,13.602200022432953,200,1,False
read,key7,13.99380003567785,404,,False
read,key13,6.506400008220226,200,2,False
read,key12,7.040700002107769,404,,False
write,key3,1222.6288999663666,201,1,False
read,key19,14.928999997209758,404,,False
read,key0,14.551899977959692,404,,False
read,key17,15.05909999832511,404,,False
read,key7,6.838600034825504,404,,False
read,key12,17.157600028440356,404,,False
write,key16,1229.061999998521,201,2,False
read,key12,16.064300027210265,404,,False
read,key19,17.769300029613078,404,,False
read,key17,16.876000037882477,404,,False
write,key14,1220.4281999729574,201,1,False
read,key0,15.129499952308834,404,,False
read,key9,14.314100029878318,404,,False
read,key1,14.681099972222,200,1,False
read,key13,15.471099992282689,200,2,False
read,key2,6.408099958207458,404,,False
read,key3,14.345300034619868,200,1,False
read,key17,13.038899982348084,404,,False
read,key13,14.227300009224564,200,2,False
read,key12,13.796899991575629,404,,False
read,key13,19.135999958962202,200,2,False
read,key18,18.234500021208078,200,2,False
write,key19,1228.7171999923885,201,1,False
read,key5,15.046599961351603,404,,False
read,key17,14.413599972613156,404,,False
read,key0,15.357099997345358,404,,False
read,key0,7.090999977663159,404,,False
read,key19,15.49319998594001,200,1,False
read,key3,13.874199998099357,200,1,False
write,key3,1233.9752000407316,201,2,False
read,key13,16.80720003787428,200,2,False
read,key10,16.061000002082437,200,2,False
read,key18,15.138400020077825,200,2,False
write,key13,1229.5711999759078,201,3,False
read,key4,14.668999996501952,404,,False
write,key6,1230.0402999971993,201,1,False
read,key17,7.763199973851442,404,,False
