op_type,key,latency_ms,status_code,version,stale
write,key4,619.350699998904,201,83,False
read,key10,113.74159995466471,200,80,False
write,key15,613.9861000119708,201,87,False
write,key11,614.2091000219807,201,89,False
write,key11,611.5712000173517,201,90,False
write,key14,621.0782999987714,201,102,False
write,key16,623.9686000044458,201,110,False
write,key0,619.5359999546781,201,88,False
write,key5,619.7245000512339,201,126,False
read,key0,118.03820001659915,200,88,False
write,key15,611.027600010857,201,88,False
write,key6,619.8647000128403,201,93,False
write,key13,625.0270999735221,201,95,False
write,key8,620.4925000201911,201,77,False
write,key15,620.3717999742366,201,89,False
write,key8,621.6673000017181,201,78,False
write,key3,613.6030999477953,201,96,False
write,key5,620.8845999790356,201,127,False
write,key2,621.0787000018172,201,94,False
write,key2,619.3247999763116,201,95,False
write,key18,615.6384999630973,201,80,False
write,key0,614.1934999614023,201,89,False
write,key5,624.2268999922089,201,128,False
write,key11,628.6295000463724,201,91,False
write,key7,613.7360999709927,201,73,False
write,key5,633.7271999800578,201,129,False
write,key5,619.3203000002541,201,130,False
read,key17,126.92110001808032,200,96,False
write,key1,631.26299995929,201,101,False
write,key11,630.6601000251248,201,92,False
write,key1,618.780999968294,201,102,False
write,key6,616.6452000034042,201,94,False
read,key14,123.41960001504049,200,102,False
write,key12,618.1487999856472,201,92,False
read,key19,126.11260003177449,200,103,False
write,key9,615.8766999724321,201,87,False
write,key4,634.7178999567404,201,84,False
write,key14,624.4482000474818,201,103,False
write,key11,625.859500025399,201,93,False
write,key17,617.8499999805354,201,97,False
write,key17,621.8427999992855,201,98,False
write,key10,621.8264999915846,201,81,False
write,key16,618.1227000197396,201,111,False
write,key8,623.4471999923699,201,79,False
write,key5,617.7942999638617,201,131,False
write,key19,622.4336999584921,201,104,False
write,key3,621.6954999836162,201,97,False
write,key12,625.2997000119649,201,93,False
write,key16,626.463100023102,201,112,False
write,key17,629.6986000379547,201,99,False
write,key18,704.7157000051811,201,81,False
write,key1,623.0454000178725,201,103,False
write,key4,621.5762000065297,201,85,False
write,key5,630.9347000205889,201,132,False
read,key1,123.67590004578233,200,103,False
write,key2,624.4133999571204,201,96,False
write,key12,617.5775000010617,201,94,False
write,key4,618.4915999765508,201,86,False
write,key6,629.7833999851719,201,95,False
write,key4,623.8765000016429,201,87,False
write,key17,623.9283999893814,201,100,False
write,key10,627.260799985379,201,82,False
write,key10,621.7747000046074,201,83,False
write,key0,619.3554999772459,201,90,False
write,key13,625.2488999743946,201,96,False
write,key8,620.8847000380047,201,80,False
write,key14,623.8096000161022,201,104,False
write,key1,620.997499965597,201,104,False
read,key9,123.3924999833107,200,87,False
write,key12,628.760899999179,201,95,False
write,key13,624.6954000089318,201,97,False
write,key3,620.5711999791674,201,98,False
write,key0,620.0621000025421,201,91,False
write,key16,623.1333999894559,201,113,False
write,key12,622.1707999939099,201,96,False
write,key6,633.2557999994606,201,96,False
write,key7,622.0009000389837,201,74,False
write,key13,622.3996999906376,201,98,False
read,key14,133.93009995343164,200,104,False
write,key8,640.3136999579147,201,81,False
read,key6,130.42689999565482,200,96,False
write,key10,617.0158000313677,201,84,False
write,key13,623.6787000088952,201,99,False
write,key6,616.7358999955468,201,97,False
write,key8,625.1602999982424,201,82,False
write,key14,619.9267999618314,201,105,False
write,key2,617.9219000041485,201,97,False
write,key0,617.9511999944225,201,92,False
write,key17,617.0292000169866,201,101,False
write,key19,628.7789000198245,201,105,False
write,key16,623.8663999829441,201,114,False
write,key6,623.1981000164524,201,98,False
write,key6,617.8923000115901,201,99,False
write,key14,617.8079000092112,201,106,False
write,key8,626.2235000031069,201,83,False
write,key14,618.8987999921665,201,107,False
write,key11,621.4177000219934,201,94,False
write,key3,615.2895999839529,201,99,False
write,key15,623.1100999866612,201,90,False
write,key10,624.7721000108868,201,85,False
write,key12,618.7857000040822,201,97,False
read,key0,115.8908000215888,200,92,False
write,key3,618.9045000355691,201,100,False
write,key4,632.2082999977283,201,88,False
write,key8,623.1275000027381,201,84,False
write,key12,617.081500007771,201,98,False
write,key4,619.4610000238754,201,89,False
write,key12,620.9908000309952,201,99,False
write,key13,625.0838999985717,201,100,False
write,key12,629.2992000235245,201,100,False
write,key11,618.4983000275679,201,95,False
write,key4,617.8481999668293,201,90,False
write,key5,631.3818999915384,201,133,False
write,key12,616.4816999807954,201,101,False
write,key14,624.1359999985434,201,108,False
write,key16,618.0222000111826,201,115,False
write,key11,617.6765999989584,201,96,False
write,key1,617.2903000260703,201,105,False
write,key3,629.5669000246562,201,101,False
write,key0,630.38200000301,201,93,False
write,key16,626.2642000219785,201,116,False
write,key19,622.9743000003509,201,106,False
write,key17,618.8946000183932,201,102,False
write,key19,624.0010000183247,201,107,False
write,key11,618.0453000124544,201,97,False
write,key2,614.2514999955893,201,98,False
write,key15,611.1926999874413,201,91,False
write,key11,613.5544999851845,201,98,False
write,key13,617.4238999956287,201,101,False
write,key6,624.807599990163,201,100,False
write,key16,612.8619000082836,201,117,False
write,key15,611.3643999560736,201,92,False
write,key7,610.6162000214681,201,75,False
write,key5,612.9529000027105,201,134,False
read,key17,124.01140003930777,200,102,False
write,key4,614.1888999845833,201,91,False
write,key18,618.9887000364251,201,82,False
write,key19,613.4315999806859,201,108,False
write,key0,615.0192999630235,201,94,False
write,key13,620.9208000218496,201,102,False
read,key13,123.57560003874823,200,102,False
write,key8,619.5509999524802,201,85,False
write,key13,628.7216999917291,201,103,False
write,key15,619.6924999821931,201,93,False
write,key13,617.5247000064701,201,104,False
write,key18,620.7346000010148,201,83,False
write,key14,627.4555000127293,201,109,False
write,key7,617.57340002805,201,76,False
write,key11,616.0049000172876,201,99,False
write,key10,628.8419999764301,201,86,False
write,key4,621.9380000256933,201,92,False
read,key12,116.68590002227575,200,101,False
write,key5,619.7902000276372,201,135,False
write,key12,624.3686999659985,201,102,False
write,key2,613.9639000175521,201,99,False
write,key3,614.9042000179179,201,102,False
write,key7,621.8140000128187,201,77,False
write,key16,624.8080999939702,201,118,False
write,key7,625.5192999960855,201,78,False
write,key4,628.4912999835797,201,93,False
write,key13,613.5563999996521,201,105,False
read,key7,121.62750004790723,200,78,False
write,key13,615.2453999966383,201,106,False
write,key10,618.1135000078939,201,87,False
write,key6,623.9234000095166,201,101,False
write,key15,621.4262999710627,201,94,False
write,key7,613.6050000204705,201,79,False
read,key8,122.0702999853529,200,85,False
read,key2,111.7406000266783,200,99,False
read,key6,108.58260001987219,200,101,False
write,key10,619.1941000288352,201,88,False
write,key7,623.9837000030093,201,80,False
write,key0,623.2894000131637,201,95,False
write,key14,616.133000003174,201,110,False
read,key12,112.03379998914897,200,102,False
read,key12,110.1014000014402,200,102,False
write,key12,614.9330000043847,201,103,False
write,key11,619.1535000107251,201,100,False
write,key13,625.5359000060707,201,107,False
read,key9,121.90030002966523,200,87,False
write,key9,620.3403000254184,201,88,False
read,key10,125.08939998224378,200,88,False
write,key8,614.9765999871306,201,86,False
write,key1,628.2893000170588,201,106,False
write,key6,624.1537999594584,201,102,False
write,key8,618.5619999887422,201,87,False
write,key4,618.0932999704964,201,94,False
write,key14,627.9797999886796,201,111,False
write,key0,618.5193000128493,201,96,False
write,key12,615.4199999873526,201,104,False
write,key3,626.6610000166111,201,103,False
write,key19,626.7383000231348,201,109,False
write,key9,621.6968999942765,201,89,False
read,key4,133.00800003344193,200,94,False
write,key16,612.9370999988168,201,119,False
write,key10,625.9390999912284,201,89,False
write,key3,615.996600012295,201,104,False
write,key9,623.3841999783181,201,90,False
write,key16,622.3524999804795,201,120,False
write,key11,619.7403999976814,201,101,False
write,key4,621.7841999605298,201,95,False
write,key6,620.9590000216849,201,103,False
write,key14,621.4302000007592,201,112,False
write,key3,621.1498000193387,201,105,False
write,key8,622.1900999662466,201,88,False
write,key8,621.9094000407495,201,89,False
write,key4,619.6383000351489,201,96,False
write,key0,624.800999998115,201,97,False
read,key19,111.80839996086434,200,109,False
write,key1,612.1991000254638,201,107,False
write,key19,623.7834999919869,201,110,False
write,key14,613.8165000011213,201,113,False
write,key13,615.4632000252604,201,108,False
write,key8,613.9106000191532,201,90,False
write,key11,623.4377999790013,201,102,False
write,key1,622.3647999577224,201,108,False
write,key2,612.5519000343047,201,100,False
write,key15,618.7268000212498,201,95,False
write,key8,621.00789998658,201,91,False
write,key11,621.7962999944575,201,103,False
write,key10,620.9660000167787,201,90,False
write,key12,620.2988000004552,201,105,False
read,key0,116.45520001184195,200,97,False
write,key12,617.9850000189617,201,106,False
write,key17,621.9103999901563,201,103,False
read,key2,115.6296999542974,200,100,False
write,key10,621.8073000200093,201,91,False
write,key10,621.7180999810807,201,92,False
write,key17,613.9517999836244,201,104,False
read,key2,117.19640000956133,200,100,False
read,key19,117.59369994979352,200,110,False
write,key15,620.4531999537721,201,96,False
write,key14,622.799800010398,201,114,False
write,key17,611.1286000232212,201,105,False
write,key4,622.3534000455402,201,97,False
write,key6,609.3460000120103,201,104,False
write,key7,623.9667999907397,201,81,False
write,key6,612.0219999575056,201,105,False
write,key16,614.2005000147037,201,121,False
write,key14,624.249599990435,201,115,False
write,key16,624.1689000162296,201,122,False
write,key10,615.1816000347026,201,93,False
write,key0,614.2357000499032,201,98,False
write,key2,613.8710000086576,201,101,False
write,key13,612.2943999944255,201,109,False
write,key14,614.9805000168271,201,116,False
write,key15,622.9747000033967,201,97,False
write,key19,621.8312999699265,201,111,False
read,key1,120.90070004342124,200,108,False
write,key13,623.2585000107065,201,110,False
write,key11,630.4940999834798,201,104,False
read,key2,121.46100000245497,200,101,False
write,key8,619.7551999939606,201,92,False
write,key10,620.8450000267476,201,94,False
write,key9,624.2776000290178,201,91,False
write,key13,626.4985000016168,201,111,False
write,key18,623.6147999879904,201,84,False
write,key1,622.9085000231862,201,109,False
write,key16,622.3718000110239,201,123,False
write,key4,615.6019999762066,201,98,False
write,key9,617.2518999665044,201,92,False
read,key19,124.70439996104687,200,111,False
write,key1,617.9220000049099,201,110,False
write,key1,615.016600000672,201,111,False
write,key12,620.996700017713,201,107,False
write,key14,617.0914000249468,201,117,False
write,key16,616.7241999646649,201,124,False
write,key8,623.0631999787875,201,93,False
write,key11,626.301100011915,201,105,False
write,key6,615.7786000403576,201,106,False
write,key4,619.0092999604531,201,99,False
read,key9,116.92430003313348,200,92,False
write,key6,613.1217000074685,201,107,False
write,key7,615.548099973239,201,82,False
write,key19,625.0025000190362,201,112,False
write,key3,616.1472999956459,201,106,False
write,key12,621.3682999950834,201,108,False
write,key17,620.7958000013605,201,106,False
write,key15,621.9154000282288,201,98,False
write,key12,619.9503000243567,201,109,False
write,key3,617.2977000242099,201,107,False
write,key7,624.2424999945797,201,83,False
write,key17,619.4189000525512,201,107,False
write,key3,620.1574000297114,201,108,False
write,key7,623.1536999694072,201,84,False
write,key3,627.460699994117,201,109,False
write,key4,640.9183999639936,201,100,False
write,key11,624.3557999841869,201,106,False
write,key9,628.3699999912642,201,93,False
write,key2,621.5603000018746,201,102,False
read,key11,114.07389998203143,200,106,False
write,key4,623.826100025326,201,101,False
write,key16,623.8090000115335,201,125,False
write,key1,619.1161000169814,201,112,False
write,key0,619.7645000065677,201,99,False
write,key5,629.3293000198901,201,136,False
write,key0,619.6792999980971,201,100,False
write,key15,618.9310000045225,201,99,False
write,key9,621.4707999606617,201,94,False
write,key15,626.1326000094414,201,100,False
read,key2,123.96389996865764,200,102,False
write,key7,619.9368999805301,201,85,False
write,key11,624.8851999989711,201,107,False
write,key7,619.8858999996446,201,86,False
write,key13,623.0784999788739,201,112,False
write,key2,628.8431999855675,201,103,False
write,key9,625.7117000059225,201,95,False
write,key18,620.856299996376,201,85,False
write,key9,622.6698000100441,201,96,False
write,key10,622.6838000002317,201,95,False
write,key15,628.6883999709971,201,101,False
write,key7,625.2080000122078,201,87,False
write,key15,628.8733000401407,201,102,False
write,key2,623.6662999726832,201,104,False
write,key16,626.7210000078194,201,126,False
write,key13,623.4469000482932,201,113,False
write,key18,626.6075000166893,201,86,False
write,key10,626.0153999901377,201,96,False
write,key7,625.0165000092238,201,88,False
write,key16,620.5429999972694,201,127,False
write,key14,632.32519995654,201,118,False
write,key6,619.2725000437349,201,108,False
read,key8,114.74990000715479,200,93,False
write,key9,615.2635999605991,201,97,False
write,key11,627.3024999536574,201,108,False
write,key13,619.513800018467,201,114,False
write,key15,618.0326000321656,201,103,False
write,key17,617.7441999898292,201,108,False
write,key10,625.9459999855608,201,97,False
write,key2,617.1316999825649,201,105,False
write,key4,625.0564999645576,201,102,False
write,key12,616.4777000085451,201,110,False
write,key12,619.7739000199363,201,111,False
write,key4,619.6429000119679,201,103,False
write,key11,617.174899962265,201,109,False
write,key13,612.4708999996074,201,115,False
write,key9,614.1118999803439,201,98,False
write,key15,611.7848000139929,201,104,False
write,key5,616.6518999962136,201,137,False
write,key0,614.2433999921195,201,101,False
write,key19,606.5882000257261,201,113,False
write,key5,604.8474999843165,201,138,False
write,key11,619.0673999954015,201,110,False
write,key4,621.41799996607,201,104,False
write,key18,628.020900010597,201,87,False
write,key10,617.2535000368953,201,98,False
