op_type,key,latency_ms,status_code,version,stale
read,key15,128.2696000416763,200,72,False
write,key19,615.9025999950245,201,85,False
read,key1,121.15630001062527,200,85,False
read,key10,110.91649997979403,200,70,False
read,key8,113.10089996550232,200,63,False
write,key6,619.6870999992825,201,80,False
read,key11,115.05620001116768,200,74,False
read,key5,118.95600002026185,200,104,False
read,key19,111.47009994601831,200,85,False
read,key7,118.81130002439022,200,60,False
read,key18,111.78490001475438,200,68,False
read,key8,118.55840001953766,200,63,False
read,key17,119.35360002098605,200,83,False
read,key12,117.32599994866177,200,76,False
read,key6,119.09490003017709,200,80,False
read,key8,110.90070003410801,200,63,False
read,key15,109.81410002568737,200,72,False
read,key18,117.34630004502833,200,68,False
read,key7,116.76609999267384,200,60,False
write,key17,620.8636999945156,201,84,False
read,key8,122.61849996866658,200,63,False
read,key14,118.89499996323138,200,83,False
read,key0,114.221700001508,200,73,False
read,key3,112.5643000123091,200,88,False
read,key18,127.62330000987276,200,68,False
read,key13,119.64290001196787,200,80,False
read,key0,120.90380000881851,200,73,False
read,key3,112.30099998647347,200,88,False
read,key2,119.87280001631007,200,82,False
read,key2,117.62959999032319,200,82,False
read,key17,118.36399999447167,200,84,False
read,key19,110.15269998461008,200,85,False
write,key14,619.2885999917053,201,84,False
read,key4,121.68149999342859,200,65,False
write,key3,621.0261000087485,201,89,False
read,key3,111.51429999154061,200,89,False
read,key3,117.7521999925375,200,89,False
read,key11,117.63320001773536,200,74,False
read,key19,111.23529996257275,200,85,False
read,key17,119.84970001503825,200,84,False
read,key15,110.40250002406538,200,72,False
read,key8,117.32620000839233,200,63,False
read,key4,117.21609998494387,200,65,False
read,key0,112.34549997607246,200,73,False
read,key2,119.20070002088323,200,82,False
write,key11,610.6969999964349,201,75,False
read,key1,112.45100002270192,200,85,False
read,key19,118.76440001651645,200,85,False
read,key19,109.8764999769628,200,85,False
read,key14,118.91359998844564,200,84,False
read,key18,117.46929999208078,200,68,False
write,key2,607.6458000461571,201,83,False
read,key10,113.35559998406097,200,70,False
write,key11,617.3333000042476,201,76,False
read,key10,119.69269998371601,200,70,False
write,key7,617.6779000088573,201,61,False
read,key4,123.76249994849786,200,65,False
read,key9,120.72700000135228,200,80,False
read,key10,117.1382000320591,200,70,False
read,key4,114.55900000873953,200,65,False
read,key10,116.9392000301741,200,70,False
read,key2,123.11480002244934,200,83,False
read,key18,116.34559999220073,200,68,False
read,key15,111.87670001527295,200,72,False
read,key17,113.12799999723211,200,84,False
read,key8,109.8146999720484,200,63,False
read,key7,117.80609999550506,200,61,False
read,key2,117.40479996660724,200,83,False
read,key11,109.62659999495372,200,76,False
read,key10,109.50209997827187,200,70,False
read,key18,117.98450001515448,200,68,False
read,key12,118.49179997807369,200,76,False
read,key12,118.36979998042807,200,76,False
read,key14,112.84910002723336,200,84,False
read,key8,120.73379999492317,200,63,False
read,key9,110.21479999180883,200,80,False
read,key5,111.68730002827942,200,104,False
read,key17,120.12550001963973,200,84,False
read,key8,113.38669998804107,200,63,False
write,key16,610.7029999839142,201,79,False
read,key12,121.23490002704784,200,76,False
read,key17,111.29289999371395,200,84,False
read,key14,109.30459998780861,200,84,False
read,key8,117.54599999403581,200,63,False
read,key4,119.4851000327617,200,65,False
read,key18,113.83059999207035,200,68,False
read,key16,111.88459995901212,200,79,False
read,key13,108.91140002058819,200,80,False
read,key13,117.3803000128828,200,80,False
read,key8,113.66440000711009,200,63,False
read,key0,122.66980001004413,200,73,False
read,key6,121.7486999812536,200,80,False
read,key3,113.00390004180372,200,89,False
read,key1,111.93830001866445,200,85,False
read,key16,118.27430000994354,200,79,False
write,key15,612.0069999597035,201,73,False
read,key16,120.99550000857562,200,79,False
write,key17,621.3344999705441,201,85,False
read,key2,114.41349994856864,200,83,False
read,key12,119.6625999873504,200,76,False
read,key6,112.0867999852635,200,80,False
read,key18,118.869400001131,200,68,False
read,key5,119.20149996876717,200,104,False
read,key12,112.28750000009313,200,76,False
read,key7,118.70299995644018,200,61,False
read,key5,110.34690000815317,200,104,False
read,key17,118.26970003312454,200,85,False
read,key1,111.28059995826334,200,85,False
read,key17,111.19739996502176,200,85,False
read,key18,118.24170005274937,200,68,False
read,key12,117.63849999988452,200,76,False
read,key18,120.3774000168778,200,68,False
read,key13,113.91289997845888,200,80,False
write,key15,615.619299991522,201,74,False
read,key16,121.02409999351948,200,79,False
read,key10,112.47470002854243,200,70,False
read,key9,123.13959997845814,200,80,False
read,key12,111.86429997906089,200,76,False
read,key8,115.16689998097718,200,63,False
read,key0,116.81279999902472,200,73,False
write,key16,612.6178999547847,201,80,False
read,key2,116.06130003929138,200,83,False
read,key17,111.22869997052476,200,85,False
read,key0,112.32549999840558,200,73,False
read,key13,112.31249995762482,200,80,False
read,key0,109.85050001181662,200,73,False
read,key3,112.08359996089712,200,89,False
read,key4,113.46259998390451,200,65,False
read,key6,113.04680001921952,200,80,False
read,key19,119.08810003660619,200,85,False
write,key16,622.1210999647155,201,81,False
read,key8,115.63329998170957,200,63,False
read,key7,119.65219996636733,200,61,False
read,key17,120.28480001026765,200,85,False
read,key17,119.67849999200553,200,85,False
write,key8,627.3968999739736,201,64,False
read,key2,131.7247999832034,200,83,False
read,key9,123.64380003418773,200,80,False
read,key0,121.95219995919615,200,73,False
read,key13,118.49959997925907,200,80,False
read,key3,125.86029997328296,200,89,False
