op_type,key,latency_ms,status_code,version,stale
write,key17,24.546600005123764,201,54,False
read,key2,213.55889999540523,200,45,False
write,key18,16.17319998331368,201,33,False
write,key4,14.311800012364984,201,37,False
read,key15,212.74430002085865,200,43,False
write,key10,15.216800034977496,201,46,False
read,key6,224.81349995359778,200,39,False
read,key11,223.94639998674393,200,38,False
write,key19,16.345500014722347,201,43,False
write,key15,7.936599955428392,201,44,False
write,key5,9.21570003265515,201,51,False
read,key15,218.0475000059232,200,44,False
read,key2,221.23399999691173,200,45,False
write,key1,16.074499988462776,201,43,False
write,key17,17.151700041722506,201,55,False
read,key15,214.3764999927953,200,44,False
read,key10,223.0250000138767,200,46,False
read,key13,210.53209999809042,200,46,False
read,key2,219.42009998019785,200,45,False
write,key15,7.490799995139241,201,45,False
write,key13,14.750099973753095,201,47,False
read,key2,220.67209996748716,200,45,False
write,key7,5.1444999990053475,201,30,False
read,key16,212.68970001256093,200,41,False
write,key13,15.013700001873076,201,48,False
read,key2,221.7823999817483,200,45,False
write,key10,13.749799982178956,201,47,False
read,key18,223.5464999685064,200,33,False
write,key17,5.737199971918017,201,56,False
write,key14,14.404299960006028,201,48,False
read,key1,224.97499996097758,200,43,False
read,key0,222.28819999145344,200,39,False
read,key10,221.17799997795373,200,47,False
read,key17,222.05319994827732,200,56,False
write,key2,16.339599969796836,201,46,False
read,key19,228.81860000779852,200,43,False
read,key2,219.54089996870607,200,46,False
read,key3,220.3455999842845,200,44,False
write,key13,15.300999977625906,201,49,False
read,key2,211.98879997245967,200,46,False
read,key14,220.2085999888368,200,48,False
read,key10,218.9539999817498,200,47,False
read,key4,220.53310001501814,200,37,False
write,key13,8.593600010499358,201,50,False
read,key9,218.84539996972308,200,50,False
read,key12,214.0951000037603,200,45,False
write,key17,13.630300003569573,201,57,False
write,key8,12.47230003355071,201,32,False
read,key15,226.86769999563694,200,45,False
read,key8,226.47130000405014,200,32,False
write,key0,12.50030001392588,201,40,False
read,key18,222.4786999868229,200,33,False
read,key1,223.74139999737963,200,43,False
write,key10,8.69119999697432,201,48,False
write,key3,7.654299959540367,201,45,False
write,key12,11.66159997228533,201,46,False
read,key14,220.17059999052435,200,48,False
read,key15,216.97409998159856,200,45,False
read,key13,212.99600001657382,200,50,False
write,key3,14.386199996806681,201,46,False
write,key1,14.563000004272908,201,44,False
write,key11,6.600000022444874,201,39,False
write,key6,13.97589995758608,201,40,False
write,key1,14.65600001392886,201,45,False
read,key14,217.28510002139956,200,48,False
read,key9,226.53009998612106,200,50,False
write,key7,10.771000001113862,201,31,False
read,key17,217.58029999909922,200,57,False
read,key16,220.33529996406287,200,41,False
read,key16,212.07589999539778,200,41,False
read,key19,218.61700003501028,200,43,False
read,key11,220.4395000007935,200,39,False
read,key14,218.54349999921396,200,48,False
write,key17,13.93139996798709,201,58,False
write,key19,14.927599986549467,201,44,False
read,key4,220.5318000051193,200,37,False
read,key0,212.17020001495257,200,40,False
read,key15,220.39439994841814,200,45,False
read,key16,220.4512999742292,200,41,False
read,key2,219.103500014171,200,46,False
read,key3,218.73490000143647,200,46,False
write,key2,15.153099957387894,201,47,False
read,key11,220.0163999805227,200,39,False
write,key5,7.899599964730442,201,52,False
read,key13,213.2458999985829,200,50,False
read,key2,221.23620001366362,200,47,False
read,key0,218.77759997732937,200,40,False
write,key5,14.51390003785491,201,53,False
write,key9,15.088999993167818,201,51,False
write,key12,13.435499975457788,201,47,False
read,key19,212.57319999858737,200,44,False
write,key1,13.643799989949912,201,46,False
write,key14,13.677900016773492,201,49,False
write,key4,6.149199965875596,201,38,False
read,key17,222.62130002491176,200,58,False
read,key0,224.43090000888333,200,40,False
write,key2,14.950699987821281,201,48,False
read,key8,223.41259999666363,200,32,False
write,key3,14.605999982450157,201,47,False
write,key3,14.231199980713427,201,48,False
read,key17,223.22100005112588,200,58,False
write,key15,14.234500005841255,201,46,False
read,key4,223.94550003809854,200,38,False
read,key16,218.32460002042353,200,41,False
write,key0,5.987800017464906,201,41,False
read,key13,213.6546000256203,200,50,False
read,key7,220.5328000127338,200,31,False
read,key18,219.4059999892488,200,33,False
write,key15,13.55949998833239,201,47,False
write,key11,6.259099987801164,201,40,False
read,key16,222.16649999609217,200,41,False
read,key6,215.3249999973923,200,40,False
write,key1,14.99519997742027,201,47,False
write,key0,13.497799984179437,201,42,False
read,key0,221.45130002172664,200,42,False
read,key14,221.04470001067966,200,49,False
write,key9,13.397599977906793,201,52,False
read,key1,213.76669994788244,200,47,False
write,key4,5.557399999815971,201,39,False
read,key7,222.75509999599308,200,31,False
read,key5,220.28140001930296,200,53,False
write,key10,14.621299982536584,201,49,False
write,key14,6.424600025638938,201,50,False
read,key8,221.25580004649237,200,32,False
read,key11,221.51110001141205,200,40,False
read,key5,219.4333999650553,200,53,False
read,key15,218.63929997198284,200,47,False
read,key9,219.70830002101138,200,52,False
write,key13,13.515800004824996,201,51,False
read,key0,220.67640000022948,200,42,False
write,key5,13.917700038291514,201,54,False
write,key2,13.98049999261275,201,49,False
read,key18,220.81989998696372,200,33,False
write,key9,14.91680002072826,201,53,False
read,key18,221.68109996709973,200,33,False
write,key5,14.778200013097376,201,55,False
write,key0,14.329800033010542,201,43,False
read,key14,218.3909000013955,200,50,False
read,key1,222.77230001054704,200,47,False
read,key4,220.57930001756176,200,39,False
write,key19,13.472999969962984,201,45,False
write,key3,14.83820000430569,201,49,False
read,key18,221.04869998292997,200,33,False
write,key16,7.726799987722188,201,42,False
write,key15,15.729700040537864,201,48,False
write,key18,14.89470002707094,201,34,False
write,key15,14.258600014727563,201,49,False
write,key9,15.438200032804161,201,54,False
read,key17,221.63770004408434,200,58,False
write,key8,5.866799969226122,201,33,False
write,key10,14.236000017262995,201,50,False
write,key14,6.930299976374954,201,51,False
write,key18,14.614699990488589,201,35,False
write,key4,15.624399995431304,201,40,False
read,key0,223.44149998389184,200,43,False
read,key1,223.21000002557412,200,47,False
write,key0,14.206799969542772,201,44,False
write,key0,7.218599959742278,201,45,False
write,key3,15.100800024811178,201,50,False
read,key12,225.06399999838322,200,47,False
read,key17,213.46649999031797,200,58,False
write,key10,16.169300011824816,201,51,False
read,key8,212.70680002635345,200,33,False
read,key3,211.43249998567626,200,50,False
write,key9,4.835799976717681,201,55,False
write,key3,5.744100024458021,201,51,False
write,key9,6.413399998564273,201,56,False
read,key6,223.84489997057244,200,40,False
write,key7,6.29980000667274,201,32,False
write,key2,6.236799992620945,201,50,False
write,key19,14.751399983651936,201,46,False
read,key11,215.55850002914667,200,40,False
write,key15,14.706199988722801,201,50,False
write,key16,15.939900011289865,201,43,False
read,key15,224.8610999668017,200,50,False
read,key12,220.30559997074306,200,47,False
write,key0,13.596299977507442,201,46,False
write,key7,13.469800003804266,201,33,False
write,key9,5.363400036003441,201,57,False
read,key9,219.84759997576475,200,57,False
read,key13,218.06799998739734,200,51,False
read,key10,218.44839997356758,200,51,False
write,key12,13.23799998499453,201,48,False
write,key10,14.031799975782633,201,52,False
write,key5,14.990700001362711,201,56,False
read,key17,219.30009999778122,200,58,False
read,key14,209.4027999555692,200,51,False
read,key6,222.04980003880337,200,40,False
write,key7,14.073300000745803,201,34,False
write,key15,20.283799967728555,201,51,False
write,key5,13.873999996576458,201,57,False
read,key11,215.2055999613367,200,40,False
read,key3,219.1370000364259,200,51,False
write,key1,16.076100000645965,201,48,False
read,key1,220.4953000182286,200,48,False
write,key11,5.18560002092272,201,41,False
write,key11,5.1883000414818525,201,42,False
read,key7,221.15920000942424,200,34,False
read,key13,220.36710003158078,200,51,False
write,key13,14.324299991130829,201,52,False
write,key9,14.330399979371578,201,58,False
write,key14,5.1454000058583915,201,52,False
write,key12,14.26060002995655,201,49,False
write,key4,14.32259997818619,201,41,False
write,key6,14.012600004207343,201,41,False
read,key2,212.13870000792667,200,50,False
write,key1,14.082799956668168,201,49,False
read,key16,221.94589994614944,200,43,False
read,key4,217.78700000140816,200,41,False
read,key9,222.10919996723533,200,58,False
read,key7,217.454900033772,200,34,False
write,key16,15.313299954868853,201,44,False
write,key14,14.815600006841123,201,53,False
write,key5,14.022800023667514,201,58,False
write,key5,14.750300033483654,201,59,False
read,key8,218.6999000259675,200,33,False
read,key7,217.76989998761564,200,34,False
write,key19,13.463700015563518,201,47,False
read,key17,219.33890000218526,200,58,False
read,key1,218.9788999967277,200,49,False
read,key0,218.05900003528222,200,46,False
read,key8,217.4788999836892,200,33,False
write,key0,16.177100013010204,201,47,False
write,key3,16.94390003103763,201,52,False
read,key12,221.15120000671595,200,49,False
read,key12,219.65189999900758,200,49,False
write,key0,15.221700014080852,201,48,False
read,key12,220.2407000004314,200,49,False
read,key14,219.08090001670644,200,53,False
read,key8,218.66910002427176,200,33,False
read,key18,217.56429999368265,200,35,False
read,key13,217.6196000073105,200,52,False
write,key6,13.912900001741946,201,42,False
write,key16,5.229700007475913,201,45,False
write,key10,14.170999987982213,201,53,False
write,key6,13.892700022552162,201,43,False
read,key12,212.1091000153683,200,49,False
write,key17,13.683500001206994,201,59,False
write,key8,14.093399979174137,201,34,False
write,key15,13.91809998312965,201,52,False
write,key4,5.7632000534795225,201,42,False
write,key1,14.643499976955354,201,50,False
write,key4,8.41100001707673,201,43,False
read,key0,223.74630003469065,200,48,False
read,key8,220.78630002215505,200,34,False
read,key1,222.06080000614747,200,50,False
read,key6,217.96580002410337,200,43,False
read,key5,209.53230001032352,200,59,False
write,key7,13.689699990209192,201,35,False
read,key4,210.17670002765954,200,43,False
write,key6,14.06800001859665,201,44,False
read,key13,211.52660000370815,200,52,False
read,key9,209.78009997634217,200,58,False
write,key6,13.236500031780452,201,45,False
read,key14,211.08380000805482,200,53,False
write,key11,5.781000014394522,201,43,False
write,key16,14.5893000299111,201,46,False
write,key9,15.632199996616691,201,59,False
read,key6,224.9619000358507,200,45,False
read,key10,223.1253000209108,200,53,False
write,key2,14.00710002053529,201,51,False
read,key6,222.50799997709692,200,45,False
read,key10,220.56319995317608,200,53,False
write,key14,12.98619998851791,201,54,False
