op_type,key,latency_ms,status_code,version,stale
read,key1,20.68030001828447,200,2,False
read,key13,16.562499979045242,200,4,False
read,key14,14.322899980470538,200,4,False
write,key14,1228.2401999691501,201,5,False
write,key1,1230.9416999923997,201,3,False
read,key4,14.64120001764968,200,2,False
write,key1,1230.897500005085,201,4,False
read,key9,16.34339999873191,200,3,False
write,key8,1224.0706000011414,201,4,False
write,key19,1231.3380999839865,201,5,False
read,key13,14.053899969439954,200,4,False
read,key8,6.905300018843263,200,4,False
read,key8,14.70800000242889,200,4,False
write,key12,1230.717700032983,201,2,False
read,key18,14.652199984993786,200,4,False
write,key18,1229.949200002011,201,5,False
write,key12,1223.5913000185974,201,3,False
write,key19,1224.7857000329532,201,6,False
write,key18,1231.9259000360034,201,6,False
write,key0,1233.6432000156492,201,2,False
read,key16,15.696699963882565,200,5,False
write,key16,1227.0786000299267,201,6,False
write,key15,1213.3145999978296,201,5,False
read,key4,16.586799989454448,200,2,False
write,key1,1225.2698000520468,201,5,False
write,key16,1219.0782999969088,201,7,False
read,key0,15.338400029577315,200,2,False
write,key14,1229.298300051596,201,6,False
read,key1,14.235100010409951,200,5,False
write,key9,1225.310100009665,201,4,False
write,key0,1220.1698999851942,201,3,False
read,key14,15.432900050655007,200,6,False
read,key6,14.799900003708899,200,1,False
write,key4,1229.1112000239082,201,3,False
read,key18,15.922199992928654,200,6,False
write,key14,1232.8450999921188,201,7,False
read,key19,9.984000003896654,200,6,False
write,key3,1232.346399978269,201,7,False
write,key9,1222.8831999818794,201,5,False
read,key1,14.192899980116636,200,5,False
read,key5,13.994300039485097,200,2,False
write,key2,1230.6677000015043,201,3,False
read,key1,15.63680003164336,200,5,False
read,key9,7.609900028910488,200,5,False
read,key18,9.214799967594445,200,6,False
read,key14,11.998299974948168,200,7,False
write,key5,1227.5128999608569,201,3,False
read,key19,14.891899947542697,200,6,False
read,key1,16.223099955823272,200,5,False
read,key11,10.166399995796382,200,1,False
write,key4,1225.754999963101,201,4,False
write,key10,1229.5638999785297,201,3,False
read,key4,15.240399981848896,200,4,False
write,key18,1222.9072999907658,201,7,False
read,key7,13.606900000013411,200,3,False
read,key1,12.844700017012656,200,5,False
read,key16,5.576400028076023,200,7,False
write,key5,1228.5944999894127,201,4,False
read,key0,14.970899967011064,200,3,False
read,key10,9.39940003445372,200,3,False
write,key13,1222.316600033082,201,5,False
read,key12,14.639400003943592,200,3,False
write,key17,1221.1540000280365,201,3,False
write,key3,1229.1933000087738,201,8,False
write,key17,1225.6898999912664,201,4,False
write,key17,1229.3273000395857,201,5,False
write,key14,1229.5844000182115,201,8,False
read,key10,14.12249996792525,200,3,False
write,key12,1230.1783000002615,201,4,False
write,key15,1222.549700003583,201,6,False
write,key11,1219.274100032635,201,2,False
read,key2,13.714800006709993,200,3,False
write,key7,1220.4955000197515,201,4,False
write,key1,1223.7370000220835,201,6,False
write,key2,1228.9004999911413,201,4,False
write,key17,1224.9521000194363,201,6,False
write,key2,1224.8874999932013,201,5,False
read,key4,15.173399995546788,200,4,False
write,key15,1225.4069999908097,201,7,False
write,key14,1226.3854999910109,201,9,False
read,key6,14.177700038999319,200,1,False
write,key10,1225.9140000096522,201,4,False
write,key4,1220.4894000315107,201,5,False
read,key2,13.56410002335906,200,5,False
read,key5,13.130599982105196,200,4,False
read,key15,15.139300026930869,200,7,False
write,key12,1228.6897000158206,201,5,False
write,key5,1232.858000032138,201,5,False
write,key15,1229.001400002744,201,8,False
write,key19,1230.5539000080898,201,7,False
read,key18,17.724800040014088,200,7,False
write,key11,1225.5315000074916,201,3,False
read,key14,5.322500015608966,200,9,False
write,key19,1221.5855999966152,201,8,False
read,key16,7.139199995435774,200,7,False
write,key0,1230.0849000457674,201,4,False
read,key4,14.173700008541346,200,5,False
write,key15,1229.7110000508837,201,9,False
read,key9,15.369000029750168,200,5,False
read,key7,13.894899981096387,200,4,False
write,key18,1231.2873000046238,201,8,False
write,key1,1226.7812000354752,201,7,False
write,key17,1229.5173999737017,201,7,False
write,key17,1230.1637000055052,201,8,False
read,key6,13.401500007603317,200,1,False
write,key19,1230.2686999901198,201,9,False
write,key15,1223.2210999936797,201,10,False
read,key18,13.866099994629622,200,8,False
read,key14,13.193199993111193,200,9,False
write,key10,1221.2926000356674,201,5,False
write,key13,1220.9233000176027,201,6,False
