op_type,key,latency_ms,status_code,version,stale
read,key16,133.3223999827169,200,83,False
read,key12,137.1979999821633,200,77,False
write,key16,617.373300017789,201,84,False
read,key11,136.69089996255934,200,76,False
read,key5,119.56570000620559,200,106,False
write,key19,617.4035000149161,201,88,False
write,key12,622.6179999648593,201,78,False
read,key2,122.74329998763278,200,84,False
write,key13,614.3479000311345,201,83,False
write,key1,617.8806999814697,201,87,False
read,key7,129.3500000028871,200,63,False
read,key19,115.44149997644126,200,88,False
read,key18,113.85099997278303,200,68,False
write,key4,624.0525000030175,201,67,False
read,key8,117.74070002138615,200,65,False
write,key8,614.2851999611594,201,66,False
read,key9,116.16989999311045,200,81,False
write,key15,621.5206000488251,201,75,False
write,key16,618.7854000017978,201,85,False
write,key4,632.7766999602318,201,68,False
read,key18,115.61650002840906,200,68,False
read,key13,115.61340000480413,200,83,False
read,key13,112.60059999767691,200,83,False
read,key0,116.88029998913407,200,74,False
write,key14,620.0988999917172,201,89,False
write,key18,620.8809000090696,201,69,False
write,key19,620.6199000007473,201,89,False
write,key16,617.2247999929823,201,86,False
write,key6,619.0153999486938,201,81,False
read,key10,116.07530002947897,200,71,False
write,key15,615.5711999745108,201,76,False
write,key12,618.418300000485,201,79,False
read,key10,116.735800052993,200,71,False
read,key10,116.34899995988235,200,71,False
read,key5,119.74280001595616,200,106,False
write,key18,616.4207000401802,201,70,False
read,key15,120.60920003568754,200,76,False
write,key7,622.1112000057474,201,64,False
read,key5,126.31680001504719,200,106,False
read,key7,116.05720000807196,200,64,False
write,key16,622.6867999648675,201,87,False
write,key6,627.7454000082798,201,82,False
write,key4,628.8555000210181,201,69,False
write,key4,618.5126000200398,201,70,False
write,key0,621.6821999987587,201,75,False
read,key6,116.66970001533628,200,82,False
read,key11,113.31049998989329,200,76,False
write,key12,622.9633999755606,201,80,False
read,key19,115.56429998017848,200,89,False
read,key3,120.20360003225505,200,90,False
write,key16,617.8967999876477,201,88,False
read,key13,117.07099998602644,200,83,False
read,key17,115.3319000150077,200,86,False
write,key4,621.0881000151858,201,71,False
read,key13,120.06309995194897,200,83,False
write,key8,615.4212000546977,201,67,False
write,key5,628.283099969849,201,107,False
read,key1,119.1106999758631,200,87,False
read,key17,114.60819997591898,200,86,False
write,key13,616.2200000253506,201,84,False
write,key1,617.743699986022,201,88,False
read,key13,120.66760001471266,200,84,False
read,key2,117.66460002399981,200,84,False
read,key11,118.6225000419654,200,76,False
write,key19,629.2228999664076,201,90,False
read,key10,119.64710004394874,200,71,False
read,key3,116.16590002086014,200,90,False
write,key15,617.3625999945216,201,77,False
read,key4,122.78919998789206,200,71,False
write,key12,616.7029999778606,201,81,False
read,key7,120.10579998604953,200,64,False
write,key3,617.7213999908417,201,91,False
read,key5,118.71439998503774,200,107,False
write,key13,614.2910999478772,201,85,False
read,key14,125.4167000297457,200,89,False
read,key4,118.60210000304505,200,71,False
write,key4,613.5607999749482,201,72,False
write,key2,622.8819999960251,201,85,False
read,key7,125.07019995246083,200,64,False
read,key15,116.29249999532476,200,77,False
write,key4,614.2164999619126,201,73,False
read,key2,131.33830000879243,200,85,False
write,key8,620.7378000253811,201,68,False
write,key11,621.1713999509811,201,77,False
write,key6,618.482000019867,201,83,False
read,key5,126.05189997702837,200,107,False
write,key13,618.1255999836139,201,86,False
write,key16,618.6669999733567,201,89,False
write,key19,622.8835000074469,201,91,False
read,key4,121.04150000959635,200,73,False
write,key16,616.466700041201,201,90,False
write,key0,623.8780000130646,201,76,False
read,key0,119.793199992273,200,76,False
read,key6,115.89379998622462,200,83,False
read,key18,123.28520003939047,200,70,False
write,key6,615.9364999621175,201,84,False
write,key2,619.2155999597162,201,86,False
read,key7,121.4822000474669,200,64,False
read,key8,119.6137000224553,200,68,False
read,key18,116.05900002177805,200,70,False
write,key19,615.7387000275776,201,92,False
read,key16,116.22180003905669,200,90,False
write,key8,615.0532999890856,201,69,False
write,key12,623.0865000397898,201,82,False
read,key5,114.11590001080185,200,107,False
read,key7,111.97349999565631,200,64,False
write,key13,615.5309000168927,201,87,False
write,key14,621.3856000103988,201,90,False
read,key7,117.77729995083064,200,64,False
read,key1,122.06810002680868,200,88,False
write,key12,628.8277999847196,201,83,False
write,key16,615.3298999997787,201,91,False
read,key9,123.13429999630898,200,81,False
read,key7,121.83170003117993,200,64,False
write,key16,612.1933000395074,201,92,False
read,key7,118.56530001387,200,64,False
read,key18,117.23129998426884,200,70,False
read,key1,116.71360000036657,200,88,False
read,key11,123.89129999792203,200,77,False
read,key10,124.83689998043701,200,71,False
write,key10,616.6704000206664,201,72,False
write,key6,617.6742999814451,201,85,False
write,key11,618.2283000089228,201,78,False
read,key19,117.50940000638366,200,92,False
read,key14,113.5630999924615,200,90,False
read,key2,116.79120000917464,200,86,False
write,key18,616.0798000055365,201,71,False
write,key18,622.6405000197701,201,72,False
write,key4,618.7875000177883,201,74,False
write,key2,622.8153000120074,201,87,False
read,key11,123.36959998356178,200,78,False
