op_type,key,latency_ms,status_code,version,stale
read,key3,43.7845999840647,404,,False
read,key10,16.16150001063943,404,,False
read,key12,16.317799978423864,404,,False
read,key12,14.06189997214824,404,,False
read,key9,13.87520000571385,404,,False
read,key17,13.634199975058436,404,,False
read,key14,14.538100047502667,404,,False
read,key7,15.531299985013902,404,,False
read,key14,16.311600047629327,404,,False
read,key16,68.70130001334473,404,,False
read,key10,22.89070002734661,404,,False
read,key4,29.161199985537678,404,,False
read,key4,17.855099984444678,404,,False
read,key19,14.483699982520193,404,,False
read,key0,17.895199998747557,404,,False
read,key10,20.80769999884069,404,,False
read,key5,12.543099990580231,404,,False
read,key19,13.030099973548204,404,,False
read,key19,13.468799996189773,404,,False
read,key0,13.614299998153001,404,,False
read,key13,17.349999980069697,404,,False
read,key12,14.290900027845055,404,,False
read,key10,22.603899997193366,404,,False
read,key5,16.563799988944083,404,,False
read,key16,20.533100003376603,404,,False
read,key15,14.813800051342696,404,,False
read,key18,15.768500044941902,404,,False
read,key5,14.051200007088482,404,,False
read,key1,20.99009999074042,404,,False
read,key5,16.805200022645295,404,,False
read,key2,22.48490002239123,404,,False
read,key15,12.756899988744408,404,,False
read,key15,13.19959998363629,404,,False
read,key7,17.980300006456673,404,,False
read,key16,14.148099988233298,404,,False
read,key13,11.706499964930117,404,,False
read,key11,10.605100018437952,404,,False
read,key12,11.60110003547743,404,,False
read,key5,10.96819998929277,404,,False
read,key19,14.500699995551258,404,,False
read,key19,10.001300019212067,404,,False
read,key5,14.612800034228712,404,,False
read,key7,13.737100001890212,404,,False
read,key13,14.22650000313297,404,,False
read,key7,13.413999986369163,404,,False
read,key3,14.514300040900707,404,,False
read,key7,14.659099979326129,404,,False
read,key16,17.97599997371435,404,,False
read,key4,14.499199984129518,404,,False
read,key0,16.180199978407472,404,,False
read,key12,21.9041999662295,404,,False
read,key8,13.38640000903979,404,,False
read,key12,18.13749998109415,404,,False
read,key7,13.975000008940697,404,,False
read,key13,14.002000039909035,404,,False
read,key9,13.776999956462532,404,,False
