Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,4984,0,380.0,976.0636378815517,9.672300016973168,25408.25710000354,70.0,83.92111302354223,0.0,380,680,920,1100,2000,3400,7400,15000,20000,25000,25000
,Aggregated,4984,0,380.0,976.0636378815517,9.672300016973168,25408.25710000354,70.0,83.92111302354223,0.0,380,680,920,1100,2000,3400,7400,15000,20000,25000,25000
