Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,3516,0,510.0,1400.4964586461733,11.243499990087003,30978.404299996328,70.0,59.55455621845641,0.0,510,940,1300,1700,3000,5000,12000,18000,30000,31000,31000
,Aggregated,3516,0,510.0,1400.4964586461733,11.243499990087003,30978.404299996328,70.0,59.55455621845641,0.0,510,940,1300,1700,3000,5000,12000,18000,30000,31000,31000
