op_type,key,latency_ms,status_code,version,stale
read,key3,20.322900032624602,200,2,False
write,key18,1228.284899960272,201,4,False
read,key13,16.80889999261126,200,2,False
write,key1,1225.6202000426129,201,5,False
write,key13,1223.4407999785617,201,3,False
write,key17,1223.918399948161,201,5,False
read,key13,13.403699966147542,200,3,False
write,key1,1225.344699982088,201,6,False
write,key15,1214.5407000207342,201,1,False
write,key15,1217.9196000215597,201,2,False
write,key17,1219.5169000187889,201,6,False
write,key6,1217.932200001087,201,3,False
write,key1,1221.632300002966,201,7,False
write,key3,1222.2954999888316,201,3,False
write,key1,1219.5913000032306,201,8,False
read,key6,12.390399992000312,200,3,False
read,key6,11.610599991399795,200,3,False
write,key16,1215.3003999846987,201,5,False
read,key14,14.675499987788498,200,4,False
read,key6,6.275299994740635,200,3,False
write,key0,1225.4128000349738,201,5,False
write,key16,1213.7456000200473,201,6,False
write,key19,1223.3017000253312,201,1,False
read,key11,14.62500001071021,200,3,False
read,key0,16.252700006589293,200,5,False
read,key5,14.278399990871549,200,1,False
write,key6,1220.4916999908164,201,4,False
write,key18,1217.6824000198394,201,5,False
write,key5,1219.3482000147924,201,2,False
read,key16,18.52780004264787,200,6,False
read,key8,12.35799997812137,404,,False
read,key12,9.302499995101243,200,3,False
write,key9,1221.4417000068352,201,6,False
read,key8,8.326900016982108,404,,False
write,key12,1219.0365999704227,201,4,False
write,key10,1221.9820999889635,201,5,False
write,key8,1218.3885999838822,201,1,False
write,key8,1226.9959999830462,201,2,False
write,key15,1217.1534999506548,201,3,False
write,key18,1226.1130000115372,201,6,False
write,key4,1215.261899982579,201,5,False
write,key4,1218.2377999997698,201,6,False
read,key19,13.716200017370284,200,1,False
write,key8,1224.1068999865092,201,3,False
read,key10,11.318099976051599,200,5,False
write,key4,1221.0608999594115,201,7,False
read,key11,14.696400030516088,200,3,False
write,key8,1212.886499997694,201,4,False
read,key3,10.183699952904135,200,3,False
write,key16,1214.2308000475168,201,7,False
read,key1,14.750499976798892,200,8,False
read,key8,15.595000004395843,200,4,False
write,key9,1221.0002999636345,201,7,False
read,key14,13.519199972506613,200,4,False
read,key10,13.778400025330484,200,5,False
write,key15,1220.2422000118531,201,4,False
read,key17,14.967900002375245,200,6,False
read,key4,14.804100035689771,200,7,False
write,key2,1221.3069999706931,201,4,False
write,key18,1215.0913999648765,201,7,False
read,key10,14.403500012122095,200,5,False
write,key16,1220.1781999901868,201,8,False
read,key16,15.271899988874793,200,8,False
write,key10,1225.2544999937527,201,6,False
read,key6,15.975299989804626,200,4,False
read,key16,13.819899992085993,200,8,False
read,key19,15.01610002014786,200,1,False
read,key14,15.09170001372695,200,4,False
write,key16,1224.772599991411,201,9,False
read,key2,8.731599955353886,200,4,False
write,key13,1224.856099986937,201,4,False
write,key14,1222.2818000009283,201,5,False
read,key15,15.401799988467246,200,4,False
read,key0,14.53449996188283,200,5,False
read,key6,15.700200048740953,200,4,False
read,key0,18.387600022833794,200,5,False
read,key15,8.482600038405508,200,4,False
read,key19,7.330200052820146,200,1,False
write,key14,1221.6862000059336,201,6,False
read,key6,14.668299991171807,200,4,False
read,key0,13.47669999813661,200,5,False
read,key17,13.980099989566952,200,6,False
write,key3,1222.500400035642,201,4,False
read,key19,5.337800015695393,200,1,False
read,key4,14.13589995354414,200,7,False
read,key19,14.37009999062866,200,1,False
write,key13,1223.3627999667078,201,5,False
read,key1,14.943899994250387,200,8,False
read,key12,17.71980000194162,200,4,False
write,key14,1223.2176999677904,201,7,False
write,key8,1223.4768000198528,201,5,False
write,key3,1226.380399952177,201,5,False
read,key6,14.997299993410707,200,4,False
read,key16,14.94640001328662,200,9,False
read,key3,13.836400001309812,200,5,False
write,key7,1223.7702999846078,201,2,False
read,key11,16.41460001701489,200,3,False
read,key2,6.742300000041723,200,4,False
read,key19,6.147300009615719,200,1,False
write,key14,1226.9427999854088,201,8,False
read,key1,15.76270000077784,200,8,False
write,key7,1219.5927000138909,201,3,False
write,key15,1223.6267999978736,201,5,False
read,key11,8.434100018348545,200,3,False
write,key2,1216.6692999890074,201,5,False
read,key7,13.825700036250055,200,3,False
write,key8,1224.0411000093445,201,6,False
write,key3,1221.92450001603,201,6,False
write,key14,1220.4668999766,201,9,False
read,key19,14.11970000481233,200,1,False
write,key9,1212.2755000018515,201,8,False
write,key6,1211.4059000159614,201,5,False
read,key5,13.54930002707988,200,2,False
read,key2,13.453499996103346,200,5,False
read,key4,13.205199968069792,200,7,False
write,key16,1220.5373999895528,201,10,False
read,key16,9.437499975319952,200,10,False
write,key13,1224.779199983459,201,6,False
read,key10,15.630099980626255,200,6,False
write,key19,1223.7272000056691,201,2,False
write,key9,1222.9705000063404,201,9,False
write,key10,1228.8755999761634,201,7,False
write,key16,1224.7237000265159,201,11,False
write,key9,1225.8145000087097,201,10,False
write,key10,1222.540199989453,201,8,False
write,key12,1225.2402000012808,201,5,False
write,key7,1224.2494000238366,201,4,False
read,key9,9.775200043804944,200,10,False
write,key0,1223.7090999842621,201,6,False
read,key1,7.125200005248189,200,8,False
write,key15,1224.6040999889374,201,6,False
read,key19,16.40429999679327,200,2,False
write,key15,1223.5835999599658,201,7,False
write,key10,1222.3022000398487,201,9,False
read,key15,16.737999976612628,200,7,False
write,key4,1224.6517000021413,201,8,False
read,key13,15.268399962224066,200,6,False
write,key4,1226.3935999944806,201,9,False
read,key19,8.85560002643615,200,2,False
write,key5,1226.7241000081412,201,3,False
read,key3,8.798199996817857,200,6,False
read,key9,9.693400003015995,200,10,False
write,key3,1219.833200040739,201,7,False
write,key3,1224.582900002133,201,8,False
write,key13,1217.4937999807298,201,7,False
read,key9,14.114900026470423,200,10,False
read,key13,14.649200020357966,200,7,False
read,key5,6.0397000052034855,200,3,False
write,key18,1220.10690002935,201,8,False
write,key9,1218.2921000057831,201,11,False
read,key3,14.236300019547343,200,8,False
write,key13,1220.6686999998055,201,8,False
write,key1,1219.9189999955706,201,9,False
read,key6,14.930999954231083,200,5,False
write,key6,1221.3006999809295,201,6,False
read,key6,8.494500012602657,200,6,False
read,key5,15.037500008475035,200,3,False
read,key4,8.430599991697818,200,9,False
read,key3,8.257799956481904,200,8,False
read,key15,8.31629999447614,200,7,False
read,key4,9.896500036120415,200,9,False
write,key16,1221.6212999774143,201,12,False
write,key3,1223.2533000060357,201,9,False
write,key15,1220.0465999776497,201,8,False
write,key5,1221.510200004559,201,4,False
write,key6,1221.404000010807,201,7,False
read,key9,15.838999999687076,200,11,False
read,key10,14.187399996444583,200,9,False
read,key5,12.696599995251745,200,4,False
write,key6,1221.8271999736317,201,8,False
write,key14,1221.7705000075512,201,10,False
