Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/analyze,3835,0,2,2.6976930656903844,0.9294000919908285,94.48960004374385,188.14159061277707,64.92494002927063,0.0,2,3,3,3,4,5,7,12,57,94,94
,Aggregated,3835,0,2,2.6976930656903844,0.9294000919908285,94.48960004374385,188.14159061277707,64.92494002927063,0.0,2,3,3,3,4,5,7,12,57,94,94
