Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,16044,0,38,49.39586472196326,22.326599981170148,895.1386999688111,70.0,269.2489581296055,0.0,38,43,50,55,77,100,140,200,600,720,900
,Aggregated,16044,0,38,49.39586472196326,22.326599981170148,895.1386999688111,70.0,269.2489581296055,0.0,38,43,50,55,77,100,140,200,600,720,900
