Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,4562,0,200.0,476.1650040332399,8.29540000995621,12975.006199994823,70.0,78.17492755718314,0.0,200,390,540,690,1100,1700,2800,4100,11000,13000,13000
,Aggregated,4562,0,200.0,476.1650040332399,8.29540000995621,12975.006199994823,70.0,78.17492755718314,0.0,200,390,540,690,1100,1700,2800,4100,11000,13000,13000
