Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/events,4655,0,200.0,475.76842799151973,8.35190000361763,10962.272200005827,70.0,79.75518397551144,0.0,200,380,540,670,1100,1600,3000,4400,10000,11000,11000
,Aggregated,4655,0,200.0,475.76842799151973,8.35190000361763,10962.272200005827,70.0,79.75518397551144,0.0,200,380,540,670,1100,1600,3000,4400,10000,11000,11000
